artworkTitle,tracker,genre,artistName,artistURL,artistBio,birth,death,Nationality,pointYear,stack,artworkURL,artworkIMG,artworkShape,,
Water Lilies (Detail),0,Impressionism,Claude Monet,https://www.moma.org/artists/4058,"(French, 1840-1926)",1840,1926,(French),1925,1,https://www.moma.org/collection/works/80298,monet.waterlilies01.jpg,horz,,
Agapanthus,1,Impressionism,Claude Monet,https://www.moma.org/artists/4058,"(French, 1840-1926)",1840,1926,(French),1925,1,https://www.moma.org/collection/works/79922,https://www.moma.org/media/W1siZiIsIjE2ODY2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d654b9aaaed51a24,vert,,
Pinning the Hat,2,Impressionism,Pierre-Auguste Renoir,https://www.moma.org/artists/4869,"(French, 1841-1919)",1841,1919,(French),1897,1,https://www.moma.org/collection/works/62107,https://www.moma.org/media/W1siZiIsIjMzNTc1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6348fc884dc64b82,vert,,
Ambroise Vollard,3,Impressionism,Pierre-Auguste Renoir,https://www.moma.org/artists/4869,"(French, 1841-1919)",1841,1919,(French),1904,1,https://www.moma.org/collection/works/30165,https://www.moma.org/media/W1siZiIsIjMzNTc0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7a1da3db39800eb1,vert,,
Water Lilies (Detail),4,Impressionism,Claude Monet,https://www.moma.org/artists/4058,"(French, 1840-1926)",1840,1926,(French),1925,1,https://www.moma.org/collection/works/80220,monet.waterlilies02.jpg,horz,,
Peasants Cutting Grass,5,Impressionism,Camille Pissarro,https://www.moma.org/artists/4640,"(French, 1830-1903)",1830,1903,(French),1894,1,https://www.moma.org/collection/works/69741,https://www.moma.org/media/W1siZiIsIjIyNDUxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b6b2e51ef39397e5,horz,,
At the Window,6,Impressionism,edouard Manet,https://www.moma.org/artists/3721,"(French, 1832-1883)",1832,1883,(French),1875,1,https://www.moma.org/collection/works/27996,https://www.moma.org/media/W1siZiIsIjQ1NTY5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3fe1293d1cc49559,vert,,
At the Milliner's,7,Impressionism,Hilaire-Germain-Edgar Degas,https://www.moma.org/artists/1465,"(French, 1834-1917)",1834,1917,(French),1882,1,https://www.moma.org/collection/works/34679,https://www.moma.org/media/W1siZiIsIjMzOTE5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2f163ffa18c8f77b,vert,,
Forest in the Mountains,8,Impressionism,Hilaire-Germain-Edgar Degas,https://www.moma.org/artists/1465,"(French, 1834-1917)",1834,1917,(French),1890,1,https://www.moma.org/collection/works/60124,https://www.moma.org/media/W1siZiIsIjI0NjI2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=47f7a296be86543e,horz,,
Green Landscape,9,Impressionism,Hilaire-Germain-Edgar Degas,https://www.moma.org/artists/1465,"(French, 1834-1917)",1834,1917,(French),1890,1,https://www.moma.org/collection/works/60107,https://www.moma.org/media/W1siZiIsIjI0NjI2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3ded87589f7e8ed7,horz,,
By the Pond,10,Impressionism,Mary Cassatt,https://www.moma.org/artists/1016,"(American, 1844-1926)",1844,1926,(American),1898,1,https://www.moma.org/collection/works/72972,https://www.moma.org/media/W1siZiIsIjIxNDMwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c6b882c678970867,horz,,
Ambroise Vollard,11,Impressionism,Claude Monet,https://www.moma.org/artists/4058,"(French, 1840-1926)",1840,1926,(French),1921,1,https://www.moma.org/collection/works/80220,https://www.moma.org/media/W1siZiIsIjE1MTE1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=adec4227971d8ac6,horz,,
The Starry Night,12,Post-Impressionism,Vincent van Gogh,https://www.moma.org/artists/2206,"(Dutch, 1853-1890)",1853,1890,(Dutch),1889,1,https://www.moma.org/collection/works/79802,https://www.moma.org/media/W1siZiIsIjQ2NzUxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d518423159c0c0ae,horz,,
The Moon and the Earth,13,Post-Impressionism,Paul Gauguin,https://www.moma.org/artists/2098,"(French, 1848-1903)",1848,1903,(French),1893,1,https://www.moma.org/collection/works/78621,https://www.moma.org/media/W1siZiIsIjQwMjg4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=717287ddc588217e,vert,,
Wonderful Earth,14,Post-Impressionism,Paul Gauguin,https://www.moma.org/artists/2098,"(French, 1848-1903)",1848,1903,(French),1894,1,https://www.moma.org/collection/works/61012,https://www.moma.org/media/W1siZiIsIjE2MzQ5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=135f825e01bbe2a0,vert,,
"The Channel at Gravelines, Evening",15,Post-Impressionism,Georges-Pierre Seurat,https://www.moma.org/artists/5358,"(French, 1859-1891)",1859,1891,(French),1890,1,https://www.moma.org/collection/works/80354,https://www.moma.org/media/W1siZiIsIjIzNTkwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0c5f329340e2cf92,horz,,
Still Life with Fruit Dish,16,Post-Impressionism,Paul Cezanne,https://www.moma.org/artists/1053,"(French, 1839-1906)",1839,1906,(French),1880,1,https://www.moma.org/collection/works/78670,https://www.moma.org/media/W1siZiIsIjQ2ODkwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dbd81ecb0c09f4ee,horz,,
L'Estaque,17,Post-Impressionism,Paul Cezanne,https://www.moma.org/artists/1053,"(French, 1839-1906)",1839,1906,(French),1883,1,https://www.moma.org/collection/works/80302,https://www.moma.org/media/W1siZiIsIjUxNjY3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bc6b333ec4094b48,horz,,
Boy in a Red Vest,18,Post-Impressionism,Paul Cezanne,https://www.moma.org/artists/1053,"(French, 1839-1906)",1839,1906,(French),1890,1,https://www.moma.org/collection/works/79086,https://www.moma.org/media/W1siZiIsIjQ1NTQ2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d38e643d1901a16d,vert,,
Pines and Rocks,19,Post-Impressionism,Paul Cezanne,https://www.moma.org/artists/1053,"(French, 1839-1906)",1839,1906,(French),1897,1,https://www.moma.org/collection/works/78454,https://www.moma.org/media/W1siZiIsIjQ3NjkwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7905968f6c7bd0f1,horz,,
Portrait of Meijer de Haan,20,Post-Impressionism,Paul Gauguin,https://www.moma.org/artists/2098,"(French, 1848-1903)",1848,1903,(French),1889,1,https://www.moma.org/collection/works/78323,https://www.moma.org/media/W1siZiIsIjE1MTI0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=37537645a1b79b4d,vert,,
Sorrow,21,Post-Impressionism,Vincent van Gogh,https://www.moma.org/artists/2206,"(Dutch, 1853-1890)",1853,1890,(Dutch),1882,1,https://www.moma.org/collection/works/67087,https://www.moma.org/media/W1siZiIsIjIxMTA5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5cfa71caddfcba3d,vert,,
Portrait of Joseph Roulin,22,Post-Impressionism,Vincent van Gogh,https://www.moma.org/artists/2206,"(Dutch, 1853-1890)",1853,1890,(Dutch),1889,1,https://www.moma.org/collection/works/79105,https://www.moma.org/media/W1siZiIsIjQ2ODMxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=85503b995e8567af,vert,,
The Olive Trees,23,Post-Impressionism,Vincent van Gogh,https://www.moma.org/artists/2206,"(Dutch, 1853-1890)",1853,1890,(Dutch),1889,1,https://www.moma.org/collection/works/80013,https://www.moma.org/media/W1siZiIsIjUwMjEwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8679a4fe3f9741b5,horz,,
Aristide Bruant in His Cabaret,24,Art Nouveau,Henri de Toulouse-Lautrec,https://www.moma.org/artists/5910,"(French, 1864-1901)",1864,1901,(French),1893,2,https://www.moma.org/collection/works/60969,https://www.moma.org/media/W1siZiIsIjI3OTMwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1fa2cd6578e36a72,vert,,
Poster for the First Secession Exhibition,25,Art Nouveau,Gustav Klimt,https://www.moma.org/artists/3147,"(Austrian, 1862-1918)",1862,1918,(Austrian),1898,2,https://www.moma.org/collection/works/5684,https://www.moma.org/media/W1siZiIsIjE3MDI1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c6ccaa5c234495fd,vert,,
"Hope, II",26,Art Nouveau,Gustav Klimt,https://www.moma.org/artists/3147,"(Austrian, 1862-1918)",1862,1918,(Austrian),1908,2,https://www.moma.org/collection/works/79792,https://www.moma.org/media/W1siZiIsIjI0MTYxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9f0bdd82b2f2dc1a,horz,,
La Goulue at the Moulin Rouge,27,Art Nouveau,Henri de Toulouse-Lautrec,https://www.moma.org/artists/5910,"(French, 1864-1901)",1864,1901,(French),1892,2,https://www.moma.org/collection/works/34936,https://www.moma.org/media/W1siZiIsIjUxNzkwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da7c481c3dc755db,vert,,
Job,28,Art Nouveau,Alphonse Mucha,https://www.moma.org/artists/4136,"(Czech, born Moravia (then Austria). 1860-1939)",1860,1939,(Czech),1897,2,https://www.moma.org/collection/works/5445,https://www.moma.org/media/W1siZiIsIjIxMDUzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d5fa0fa930ac63e4,vert,,
Medée (Medea) Poster,29,Art Nouveau,Alphonse Mucha,https://www.moma.org/artists/4136,"(Czech, born Moravia (then Austria). 1860-1939)",1860,1939,(Czech),1898,2,https://www.moma.org/collection/works/8983,https://www.moma.org/media/W1siZiIsIjIxMjA3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=343b1cd110c970df,vert,,
"Avenue Theater, A Comedy of Sighs!",30,Art Nouveau,Aubrey Beardsley,https://www.moma.org/artists/413,"(British, 1872-1898)",1872,1898,(British),1894,2,https://www.moma.org/collection/works/5114,https://www.moma.org/media/W1siZiIsIjIxMDI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bb7c2e87b98584be,vert,,
The Box with the Gilded Mask,31,Art Nouveau,Henri de Toulouse-Lautrec,https://www.moma.org/artists/5910,"(French, 1864-1901)",1864,1901,(French),1894,2,https://www.moma.org/collection/works/152650,https://www.moma.org/media/W1siZiIsIjI2NjI4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=56bbf5a6250ead5b,vert,,
"Mademoiselle Cha-u-kao, The Seated Clowness",32,Art Nouveau,Henri de Toulouse-Lautrec,https://www.moma.org/artists/5910,"(French, 1864-1901)",1864,1901,(French),1896,2,https://www.moma.org/collection/works/63510,https://www.moma.org/media/W1siZiIsIjI3OTQ0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4b45159ee21b423a,vert,,
The Clowness at the Moulin Rouge,33,Art Nouveau,Henri de Toulouse-Lautrec,https://www.moma.org/artists/5910,"(French, 1864-1901)",1864,1901,(French),1897,2,https://www.moma.org/collection/works/63073,https://www.moma.org/media/W1siZiIsIjUxNzQ0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ca3f2c201c29d000,vert,,
Vase,34,Art Nouveau,Louis Comfort Tiffany,https://www.moma.org/artists/5876,"(American, 1848-1933)",1848,1933,(American),1900,2,https://www.moma.org/collection/works/2621,https://www.moma.org/media/W1siZiIsIjIwODQ3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=62759060bed3743f,vert,,
Hanging Lotus Lamp,35,Art Nouveau,Louis Comfort Tiffany,https://www.moma.org/artists/5876,"(American, 1848-1933)",1848,1933,(American),1905,2,https://www.moma.org/collection/works/3542,https://www.moma.org/media/W1siZiIsIjEzMjI5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=93e2fb9cf8c84041,horz,,
Bathers,36,Fauvism,Andre Derain,https://www.moma.org/artists/1500,"(French, 1880-1954)",1880,1954,(French),1907,3,https://www.moma.org/collection/works/80246,https://www.moma.org/media/W1siZiIsIjIyMzcxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=90fa6895f436e7d9,horz,,
Charing Cross Bridge,37,Fauvism,Andre Derain,https://www.moma.org/artists/1500,"(French, 1880-1954)",1880,1954,(French),1906,3,https://www.moma.org/collection/works/79463,https://www.moma.org/media/W1siZiIsIjUyNzU0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3f8ba6483ee661d9,horz,,
London Bridge,38,Fauvism,Andre Derain,https://www.moma.org/artists/1500,"(French, 1880-1954)",1880,1954,(French),1906,3,https://www.moma.org/collection/works/79103,https://www.moma.org/media/W1siZiIsIjE1MTA5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=96440605c7d8da18,horz,,
